Primalia,Gilda,5.9,female,Moldova
Kosey,Alameda,4.6,female,Romania
Raimondo,Halette,4.5,female,Moldova
Jobi,Bettine,8,male,Moldova
Lacombe,Keelia,2.4,female,Romania
Ajay,Alleen,5.2,male,Ucraina
Aldric,Edee,2.3,female,Ucraina
Urania,Arabel,2.8,female,Ucraina
Kaete,Monika,7.1,female,Ungaria
Rustice,Kore,6.4,male,Ucraina
Koehler,Jessamyn,2.1,female,Moldova
Israeli,Ileana,2.1,male,Ucraina
Medrek,Vinita,8.3,female,Romania
Myrilla,Merrie,7.6,female,Moldova
Bahr,Regina,1.2,female,Bulgaria
Birdella,Jsandye,9.6,male,Bulgaria
Thomasina,Carol-Jean,9.8,female,Ucraina
Halsey,Carilyn,8.1,male,Ungaria
Boehike,Belva,3.2,female,Ucraina
Wadell,Patricia,6.3,male,Ungaria
Katrine,Adore,8,male,Bulgaria
Smitt,Karina,8.2,female,Ucraina
Colbert,Randa,1.4,female,Ungaria
Schenck,Tarra,4.2,female,Ungaria
Rillings,Katuscha,5.4,male,Bulgaria
Zenas,Ulrike,7.8,male,Ungaria
Irmine,Nikki,7.5,female,Romania
Campball,Rosabelle,4.7,male,Bulgaria
Thornburg,Cindelyn,7.6,male,Romania
Sikorski,Agnese,4.1,male,Romania
Lilybelle,Gertrud,8.4,male,Moldova
MacIntosh,Zondra,9.2,female,Romania
Allys,Jeanna,4.6,female,Moldova
Ries,Jan,6.3,male,Moldova
Isacco,Camile,6.6,female,Ucraina
Brandice,Tomasina,7.4,female,Bulgaria
Chabot,Joceline,5.8,female,Ungaria
Klemperer,Charmaine,9.2,male,Ucraina
Harned,Gilligan,4.7,male,Ucraina
Tyson,Leeanne,5.6,female,Romania
Rugen,Lesly,1,male,Moldova
Agle,Mildrid,1.6,male,Romania
Nea,Wynne,1.3,female,Ungaria
Kravits,Verla,9.4,female,Moldova
Valerio,Quintina,3.5,female,Romania
Aida,Ashlee,4.3,female,Moldova
Ovid,Winny,5.6,female,Romania
Ricki,Amara,7.5,male,Ucraina
Stuart,Melisent,5.6,male,Bulgaria
Hull,Celisse,5,female,Romania
Cavan,Julieta,2.8,male,Bulgaria
Gaspard,Myriam,9.4,male,Ungaria
Merriott,Cristabel,2.6,male,Bulgaria
Abernon,Ilse,2.2,female,Ucraina
Lacombe,Norine,9.9,male,Ucraina
Lanita,Gertrud,2.3,male,Ucraina
Chandler,Dagmar,8.7,male,Moldova
Bollay,Candy,2.6,female,Ungaria
Glenden,Aurelie,5.3,male,Romania
Tannie,Alisha,3.5,female,Ungaria
Love,Teddie,7.3,female,Moldova
Braun,Rubie,3.7,male,Romania
Henebry,Gwyneth,8.8,female,Ucraina
Friede,Luci,8.5,male,Romania
Pierette,Lusa,9.5,male,Bulgaria
Schonfeld,Jordan,8.3,male,Ungaria
Othilia,Tracey,8.7,female,Ucraina
Land,Claudina,5.1,male,Ungaria
Hilbert,Clo,7.8,female,Bulgaria
Hashim,Lexine,8.9,female,Bulgaria
Weinreb,Kirbee,7.6,female,Ucraina
Colleen,Doro,9.8,female,Ucraina
Horan,Stephanie,6.9,male,Romania
Jacqui,Deloria,6.7,male,Moldova
Hermes,Arabel,6.8,female,Bulgaria
Daveta,Elka,7,male,Ucraina
Merell,Aimil,7.7,male,Bulgaria
Alrich,Nita,8.2,male,Moldova
Lubin,Candy,7.7,female,Bulgaria
Ricki,Claudina,7,female,Moldova
Masao,Ardeen,7.5,male,Romania
